"","Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"163","806",1,1,1,1,0,0,0,0,0,0,0,0,0
"164","809",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"165","823",1,1,1,1,0,0,0,0,0,0,0,0,0
"166","833",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"167","834",110,22,0.974,3,8,3,0,2,0,3,1,0,0
"168","839",2,1,1,0,1,0,0,0,0,0,0,0,0
"169","840",1,1,1,1,0,0,0,0,0,0,0,0,0
"170","841",1,1,1,1,0,0,0,0,0,0,0,0,0
"171","842",6,5,0.3939,4,1,0,0,0,0,0,0,0,0
"172","846",1,1,1,1,0,0,0,0,0,0,0,0,0
"173","847",1,1,1,1,0,0,0,0,0,0,0,0,0
"174","852",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"175","856",1,1,1,1,0,0,0,0,0,0,0,0,0
"176","862",1,1,1,1,0,0,0,0,0,0,0,0,0
"177","865",22,9,0.8264,4,2,1,1,0,0,1,0,0,0
